ID,predict,preding
52367,0.0,0.05
52917,0.0,0.11
53378,0.0,0.16
50779,0.0,0.06
52352,0.0,0.32
50021,0.0,0.46
50726,0.0,0.17
52679,0.0,0.01
50389,0.0,0.28
50905,0.0,0.02
50409,0.0,0.34
52473,0.0,0.21
52089,0.0,0.07
50522,0.0,0.09
50603,0.0,0.72
53796,0.0,0.06
53167,0.0,0.1
53351,0.0,0.11
53680,0.0,0.85
53273,0.0,0.73
52913,0.0,0.2
50098,0.0,0.17
53479,0.0,0.16
50804,0.0,0.4
50074,0.0,0.78
53635,0.0,0.0
50189,0.0,0.83
53138,0.0,0.41
53786,0.0,0.54
50268,0.0,0.1
53688,0.0,0.51
51962,0.0,0.18
53639,0.0,0.2
53792,0.0,0.38
52631,0.0,0.44
50129,0.0,0.14
52712,0.0,0.19
50432,0.0,0.54
53221,0.0,0.26
53474,0.0,0.45
54232,0.0,0.51
50151,0.0,0.24
52516,0.0,0.82
53019,0.0,0.02
52510,0.0,0.59
50252,0.0,0.02
53354,0.0,0.5
50448,0.0,0.9
52796,0.0,0.13
50641,0.0,0.32
52189,0.0,0.13
53588,0.0,0.81
53324,0.0,0.27
51809,0.0,0.24
50258,0.0,0.83
54271,0.0,0.19
52785,0.0,0.2
50026,0.0,0.5
51529,0.0,0.12
51636,0.0,0.51
52050,0.0,0.35
52419,0.0,0.26
53228,0.0,0.71
52425,0.0,0.08
53470,0.0,0.2
52139,0.0,0.15
50471,0.0,0.24
52374,0.0,0.85
50136,0.0,0.24
51736,0.0,0.38
52638,0.0,0.14
51458,0.0,0.11
51027,0.0,0.34
51870,0.0,0.73
50960,0.0,0.74
52212,0.0,0.01
53337,0.0,0.14
51421,0.0,0.23
51740,0.0,0.05
52988,0.0,0.4
51551,0.0,0.12
51574,0.0,0.6
52285,0.0,0.14
51984,0.0,0.9
52735,0.0,0.82
52037,0.0,0.05
51522,0.0,0.88
52383,0.0,0.45
53724,0.0,0.6
52435,0.0,0.13
51506,0.0,0.15
53863,0.0,0.75
53212,0.0,0.36
50955,0.0,0.43
51646,0.0,0.03
50769,0.0,0.21
50675,0.0,0.42
54180,0.0,0.27
50174,0.0,0.75
52475,0.0,0.13
52472,0.0,0.31
52312,0.0,0.02
51007,0.0,0.13
52287,0.0,0.39
52334,0.0,0.15
50354,0.0,0.08
52462,0.0,0.08
52731,0.0,0.01
53106,0.0,0.08
52469,0.0,0.75
53076,0.0,0.46
50177,0.0,0.22
50028,0.0,0.57
51856,0.0,0.07
53294,0.0,0.47
50394,0.0,0.62
50791,0.0,0.06
51325,0.0,0.14
52366,0.0,0.53
50372,0.0,0.21
51474,0.0,0.11
54117,0.0,0.07
50413,0.0,0.59
51471,0.0,0.12
52079,0.0,0.08
51553,0.0,0.62
52207,0.0,0.05
53764,0.0,0.08
50806,0.0,0.27
52853,0.0,0.18
53938,0.0,0.45
50353,0.0,0.36
52097,0.0,0.12
52780,0.0,0.81
50390,0.0,0.17
53988,0.0,0.27
53910,0.0,0.93
52128,0.0,0.95
53569,0.0,0.12
53007,0.0,0.11
54039,0.0,0.39
52755,0.0,0.22
52545,0.0,0.32
50342,0.0,0.31
52793,0.0,0.5
52238,0.0,0.12
50782,0.0,0.92
51376,0.0,0.8
51520,0.0,0.06
53075,0.0,0.04
51600,0.0,0.27
53834,0.0,0.19
53964,0.0,0.13
51767,0.0,0.08
51481,0.0,0.07
52998,0.0,0.39
52217,0.0,0.66
53890,0.0,0.05
54196,0.0,0.07
53749,0.0,0.25
52076,0.0,0.55
54197,0.0,0.01
52307,0.0,0.5
53787,0.0,0.48
53805,0.0,0.39
51806,0.0,0.2
52795,0.0,0.75
50256,0.0,0.18
51457,0.0,0.45
53506,0.0,0.15
52765,0.0,0.02
52461,0.0,0.15
53081,0.0,0.01
54086,0.0,0.02
52554,0.0,0.12
51764,0.0,0.16
53689,0.0,0.36
53653,0.0,0.81
53401,0.0,0.28
53402,0.0,0.35
50395,0.0,0.32
50326,0.0,0.15
51830,0.0,0.08
52574,0.0,0.19
53670,0.0,0.42
52802,0.0,0.05
51045,0.0,0.07
51836,0.0,0.5
50694,0.0,0.12
52152,0.0,0.02
52778,0.0,0.1
53770,0.0,0.3
50455,0.0,0.84
54001,0.0,0.14
53067,0.0,0.66
52400,0.0,0.92
53799,0.0,0.45
50962,0.0,0.07
50657,0.0,0.17
50171,0.0,0.37
50035,0.0,0.2
52200,0.0,0.12
51700,0.0,0.27
53259,0.0,0.4
51955,0.0,0.2
52414,0.0,0.18
54195,0.0,0.03
54276,0.0,0.24
54079,0.0,0.16
52979,0.0,0.09
52621,0.0,0.09
54256,0.0,0.05
50901,0.0,0.23
50862,0.0,0.11
52528,0.0,0.81
53016,0.0,0.33
50083,0.0,0.14
50128,0.0,0.06
51496,0.0,0.65
51860,0.0,0.73
53311,0.0,0.23
54125,0.0,0.13
50503,0.0,0.86
54142,0.0,0.27
51849,0.0,0.42
50757,0.0,0.52
53726,0.0,0.02
53211,0.0,0.09
51148,0.0,0.19
50677,0.0,0.16
52512,0.0,0.32
51615,0.0,0.19
50357,0.0,0.46
53691,0.0,0.32
54132,0.0,0.34
52492,0.0,0.34
52664,0.0,0.75
50125,0.0,0.54
50306,0.0,0.13
50746,0.0,0.09
52858,0.0,0.12
52481,0.0,0.77
50216,0.0,0.13
53087,0.0,0.09
52669,0.0,0.19
53386,0.0,0.02
50662,0.0,0.47
50508,0.0,0.08
51989,0.0,0.88
51005,0.0,0.13
50311,0.0,0.25
51450,0.0,0.05
50579,0.0,0.38
52130,0.0,0.13
51125,0.0,0.79
51894,0.0,0.81
51270,0.0,0.1
50060,0.0,0.79
50343,0.0,0.62
52228,0.0,0.19
51406,0.0,0.31
51340,0.0,0.14
54242,0.0,0.19
51787,0.0,0.46
50481,0.0,0.33
51278,0.0,0.17
50736,0.0,0.22
50964,0.0,0.06
52105,0.0,0.23
53892,0.0,0.22
51657,0.0,0.58
52729,0.0,0.75
53721,0.0,0.51
53307,0.0,0.47
52122,0.0,0.21
50447,0.0,0.18
53420,0.0,0.76
52167,0.0,0.64
51277,0.0,0.12
53643,0.0,0.67
53975,0.0,0.2
51290,0.0,0.33
51315,0.0,0.28
53206,0.0,0.62
52586,0.0,0.16
54234,0.0,0.4
54124,0.0,0.23
51697,0.0,0.27
50856,0.0,0.15
52980,0.0,0.8
53489,0.0,0.16
53000,0.0,0.17
52997,0.0,0.02
50750,0.0,0.31
52301,0.0,0.04
53141,0.0,0.5
53573,0.0,0.09
51114,0.0,0.03
51648,0.0,0.18
52415,0.0,0.95
51000,0.0,0.13
50005,0.0,0.25
54249,0.0,0.54
51300,0.0,0.74
50365,0.0,0.11
53544,0.0,0.99
51069,0.0,0.54
53849,0.0,0.38
53158,0.0,0.05
52094,0.0,0.01
53502,0.0,0.05
50690,0.0,0.44
50564,0.0,0.17
50885,0.0,0.2
52544,0.0,0.67
52265,0.0,0.06
53086,0.0,0.37
50981,0.0,0.05
52368,0.0,0.21
51305,0.0,0.11
53695,0.0,0.69
53657,0.0,0.62
52423,0.0,0.61
54008,0.0,0.05
50576,0.0,0.05
51225,0.0,0.54
52017,0.0,0.21
50975,0.0,0.48
50162,0.0,0.23
50077,0.0,0.12
53500,0.0,0.39
52294,0.0,0.52
53698,0.0,0.47
53672,0.0,0.39
50081,0.0,0.66
52320,0.0,0.06
51263,0.0,0.01
51347,0.0,0.29
53098,0.0,0.24
54053,0.0,0.78
52790,0.0,0.25
52646,0.0,0.11
53699,0.0,0.34
52871,0.0,0.08
54085,0.0,0.49
53117,0.0,0.08
51053,0.0,0.06
51779,0.0,0.88
53031,0.0,0.35
52748,0.0,0.81
51524,0.0,0.48
51158,0.0,0.77
51418,0.0,0.04
50027,0.0,0.23
51085,0.0,0.18
50452,0.0,0.29
50255,0.0,0.89
51986,0.0,0.63
51244,0.0,0.05
52026,0.0,0.25
53752,0.0,0.54
53166,0.0,0.45
53345,0.0,0.43
53139,0.0,0.12
50214,0.0,0.25
52681,0.0,0.06
54057,0.0,0.24
50199,0.0,0.58
50246,0.0,0.9
53734,0.0,0.37
50857,0.0,0.28
50463,0.0,0.08
54041,0.0,0.27
54058,0.0,0.02
51569,0.0,0.2
51649,0.0,0.59
54209,0.0,0.1
54007,0.0,0.53
50836,0.0,0.38
52699,0.0,0.26
50164,0.0,0.16
50321,0.0,0.07
51067,0.0,0.27
50610,0.0,0.51
50514,0.0,0.63
52362,0.0,0.19
50251,0.0,0.6
51025,0.0,0.82
50623,0.0,0.1
51572,0.0,0.24
50632,0.0,0.23
52650,0.0,0.05
50988,0.0,0.11
53916,0.0,0.17
52652,0.0,0.72
51397,0.0,0.14
53659,0.0,0.29
51957,0.0,0.04
52899,0.0,0.17
51472,0.0,0.76
50263,0.0,0.19
50018,0.0,0.82
53948,0.0,0.56
53967,0.0,0.26
51250,0.0,0.06
50100,0.0,0.71
51865,0.0,0.19
51123,0.0,0.29
50376,0.0,0.41
50420,0.0,0.6
50611,0.0,0.05
51100,0.0,0.43
50138,0.0,0.2
50995,0.0,0.31
50584,0.0,0.27
52684,0.0,0.41
53806,0.0,0.1
54245,0.0,0.03
50950,0.0,0.13
50896,0.0,0.95
52628,0.0,0.27
51021,0.0,0.13
50883,0.0,0.2
53700,0.0,0.16
53914,0.0,0.18
50501,0.0,0.36
52317,0.0,0.33
50215,0.0,0.11
51750,0.0,0.04
52068,0.0,0.23
52064,0.0,0.17
54139,0.0,0.07
53953,0.0,0.13
50470,0.0,0.14
52188,0.0,0.96
50556,0.0,0.22
50768,0.0,0.36
50972,0.0,0.6
53045,0.0,0.23
51431,0.0,0.2
52235,0.0,0.08
53077,0.0,0.15
50329,0.0,0.27
51172,0.0,0.82
53154,0.0,0.14
54059,0.0,0.27
52974,0.0,0.18
51207,0.0,0.89
53282,0.0,0.14
50325,0.0,0.63
52820,0.0,0.5
52003,0.0,0.21
53281,0.0,0.36
53607,0.0,0.06
54108,0.0,0.43
51443,0.0,0.32
52708,0.0,0.8
50843,0.0,0.14
53855,0.0,0.74
53904,0.0,0.43
51653,0.0,0.26
50400,0.0,0.07
53319,0.0,0.02
50755,0.0,0.35
52125,0.0,0.26
52553,0.0,0.5
50346,0.0,0.09
50278,0.0,0.23
51466,0.0,0.35
53778,0.0,0.13
52640,0.0,0.83
50600,0.0,0.71
50560,0.0,0.39
51679,0.0,0.26
50270,0.0,0.79
51233,0.0,0.13
51968,0.0,0.82
52296,0.0,0.25
53037,0.0,0.57
52842,0.0,0.42
54052,0.0,0.09
50300,0.0,0.07
53753,0.0,0.52
51848,0.0,0.86
52048,0.0,0.07
53033,0.0,0.2
50920,0.0,0.06
53927,0.0,0.05
53930,0.0,0.1
51799,0.0,0.36
51253,0.0,0.23
50195,0.0,0.09
53454,0.0,0.13
53883,0.0,0.14
52350,0.0,0.11
51291,0.0,0.04
51591,0.0,0.78
53431,0.0,0.15
51946,0.0,0.14
52056,0.0,0.21
53779,0.0,0.35
51419,0.0,0.14
53413,0.0,0.64
53512,0.0,0.02
53663,0.0,0.15
50544,0.0,0.23
51577,0.0,0.17
53870,0.0,0.79
51387,0.0,0.02
50047,0.0,0.51
50748,0.0,0.08
54238,0.0,0.34
50737,0.0,0.11
52016,0.0,0.82
52619,0.0,0.28
50969,0.0,0.95
53567,0.0,0.24
50183,0.0,0.69
51681,0.0,0.36
51330,0.0,0.59
51935,0.0,0.14
51706,0.0,0.38
53293,0.0,0.24
50259,0.0,0.88
52117,0.0,0.27
52208,0.0,0.54
50518,0.0,0.48
53490,0.0,0.14
50043,0.0,0.34
54162,0.0,0.48
50568,0.0,0.81
52284,0.0,0.13
50570,0.0,0.02
51094,0.0,0.94
51381,0.0,0.08
53355,0.0,0.25
50261,0.0,0.47
52073,0.0,0.17
50655,0.0,0.02
50796,0.0,0.78
53116,0.0,0.16
51631,0.0,0.22
51720,0.0,0.35
50754,0.0,0.14
54116,0.0,0.02
54077,0.0,0.04
54171,0.0,0.54
51961,0.0,0.13
52329,0.0,0.18
50829,0.0,0.1
54064,0.0,0.13
52850,0.0,0.08
53412,0.0,0.03
52490,0.0,0.53
51464,0.0,0.06
53520,0.0,0.87
52029,0.0,0.74
54005,0.0,0.07
50279,0.0,0.95
51539,0.0,0.02
51200,0.0,0.43
53235,0.0,0.07
52474,0.0,0.18
52131,0.0,0.32
50776,0.0,0.07
52397,0.0,0.6
51800,0.0,0.35
51774,0.0,0.16
53568,0.0,0.57
53058,0.0,0.7
53854,0.0,0.91
51533,0.0,0.34
53178,0.0,0.4
51390,0.0,0.51
51753,0.0,0.33
51793,0.0,0.08
50170,0.0,0.31
54239,0.0,0.63
54032,0.0,0.28
53216,0.0,0.17
52878,0.0,0.27
50833,0.0,0.17
52770,0.0,0.19
53574,0.0,0.09
51676,0.0,0.16
51396,0.0,0.07
51508,0.0,0.14
50375,0.0,0.83
51987,0.0,0.07
50863,0.0,0.03
53487,0.0,0.24
53022,0.0,0.1
51943,0.0,0.7
53427,0.0,0.65
52592,0.0,0.34
53428,0.0,0.13
51956,0.0,0.15
51659,0.0,0.14
52964,0.0,0.88
53879,0.0,0.03
52933,0.0,0.31
52527,0.0,0.08
51541,0.0,0.75
51530,0.0,0.11
50533,0.0,0.2
52120,0.0,0.69
51116,0.0,0.73
53339,0.0,0.08
53934,0.0,0.62
53708,0.0,0.23
53169,0.0,0.13
52773,0.0,0.73
51267,0.0,0.28
52532,0.0,0.16
50575,0.0,0.27
50185,0.0,0.12
51164,0.0,0.38
51716,0.0,0.17
51341,0.0,0.31
51985,0.0,0.15
52183,0.0,0.11
51440,0.0,0.84
51796,0.0,0.47
51863,0.0,0.07
52277,0.0,0.14
50537,0.0,0.28
50865,0.0,0.36
53712,0.0,0.04
51048,0.0,0.51
52086,0.0,0.32
52688,0.0,0.74
51119,0.0,0.18
52182,0.0,0.09
53254,0.0,0.6
50344,0.0,0.15
50541,0.0,0.03
50186,0.0,0.04
51643,0.0,0.5
53839,0.0,0.38
52113,0.0,0.56
51425,0.0,0.93
53710,0.0,0.23
54138,0.0,0.09
53404,0.0,0.24
51754,0.0,0.61
51402,0.0,0.03
51658,0.0,0.87
53982,0.0,0.27
53844,0.0,0.43
51426,0.0,0.6
53163,0.0,0.11
53321,0.0,0.12
50001,0.0,0.64
50601,0.0,0.27
50046,0.0,0.19
51807,0.0,0.7
53251,0.0,0.91
53450,0.0,0.24
52902,0.0,0.12
52579,0.0,0.17
52363,0.0,0.05
53641,0.0,0.19
53739,0.0,0.32
53600,0.0,0.25
53179,0.0,0.93
52470,0.0,0.7
53563,0.0,0.1
51876,0.0,0.06
51630,0.0,0.4
52196,0.0,0.44
53350,0.0,0.4
53555,0.0,0.2
53276,0.0,0.68
54026,0.0,0.9
51088,0.0,0.32
51377,0.0,0.24
50434,0.0,0.44
53125,0.0,0.38
53703,0.0,0.55
50055,0.0,0.08
52614,0.0,0.2
50820,0.0,0.64
52341,0.0,0.57
52219,0.0,0.04
53886,0.0,0.13
50087,0.0,0.18
53971,0.0,0.43
51515,0.0,0.76
51687,0.0,0.21
50982,0.0,0.02
53447,0.0,0.8
52375,0.0,0.11
53072,0.0,0.23
51103,0.0,0.38
50700,0.0,0.16
51725,0.0,0.02
53831,0.0,0.07
52900,0.0,0.43
52599,0.0,0.19
52293,0.0,0.91
50622,0.0,0.08
52112,0.0,0.65
53299,0.0,0.08
51297,0.0,0.38
52837,0.0,0.18
53702,0.0,0.09
51978,0.0,0.19
50442,0.0,0.24
51281,0.0,0.1
51575,0.0,0.02
51039,0.0,0.82
51994,0.0,0.71
51031,0.0,0.39
52662,0.0,0.73
53807,0.0,0.75
52304,0.0,0.14
52110,0.0,0.1
51392,0.0,0.14
52090,0.0,0.59
52630,0.0,0.62
50137,0.0,0.16
51899,0.0,0.15
53619,0.0,0.72
51274,0.0,0.62
53271,0.0,0.54
54176,0.0,0.08
50404,0.0,0.1
50691,0.0,0.21
52178,0.0,0.81
51632,0.0,0.09
51232,0.0,0.22
53488,0.0,0.07
50053,0.0,0.63
50269,0.0,0.45
53584,0.0,0.1
51247,0.0,0.03
50659,0.0,0.48
53226,0.0,0.4
51480,0.0,0.21
53329,0.0,0.1
51223,0.0,0.28
51444,0.0,0.69
53147,0.0,0.38
51835,0.0,0.68
53348,0.0,0.33
52674,0.0,0.71
53853,0.0,0.34
51527,0.0,0.1
50997,0.0,0.04
53057,0.0,0.04
54022,0.0,0.13
52626,0.0,0.44
51696,0.0,0.35
52002,0.0,0.33
53578,0.0,0.21
53342,0.0,0.09
51190,0.0,0.44
50097,0.0,0.06
53270,0.0,0.18
53679,0.0,0.92
51802,0.0,0.36
54150,0.0,0.17
51201,0.0,0.79
52109,0.0,0.21
50039,0.0,0.06
50913,0.0,0.26
50336,0.0,0.58
50826,0.0,0.11
51851,0.0,0.23
53118,0.0,0.22
53177,0.0,0.13
51109,0.0,0.22
53069,0.0,0.04
52013,0.0,0.69
52761,0.0,0.13
52993,0.0,0.12
52887,0.0,0.02
50909,0.0,0.02
51616,0.0,0.26
53352,0.0,0.41
52941,0.0,0.36
50286,0.0,0.68
53780,0.0,0.46
53911,0.0,0.16
52624,0.0,0.43
52612,0.0,0.13
52011,0.0,0.54
50361,0.0,0.07
53466,0.0,0.44
50660,0.0,0.41
50320,0.0,0.58
52833,0.0,0.85
51204,0.0,0.9
51494,0.0,0.6
50852,0.0,0.53
50728,0.0,0.26
53336,0.0,0.53
51295,0.0,0.05
53255,0.0,0.09
51235,0.0,0.12
50940,0.0,0.25
51936,0.0,0.91
52524,0.0,0.32
52762,0.0,0.24
52232,0.0,0.41
52365,0.0,0.87
52099,0.0,0.19
53054,0.0,0.69
52500,0.0,0.41
53433,0.0,0.1
53881,0.0,0.19
53626,0.0,0.28
50770,0.0,0.46
51409,0.0,0.23
53933,0.0,0.38
52264,0.0,0.09
51065,0.0,0.49
53915,0.0,0.42
50801,0.0,0.43
50331,0.0,0.13
52295,0.0,0.2
52360,0.0,0.88
53772,0.0,0.14
50866,0.0,0.08
52486,0.0,0.11
51234,0.0,0.07
53066,0.0,0.07
52783,0.0,0.09
53652,0.0,0.29
52460,0.0,0.75
54020,0.0,0.35
54006,0.0,0.42
50695,0.0,0.09
50665,0.0,0.29
50319,0.0,0.09
53722,0.0,0.15
54191,0.0,0.12
51973,0.0,0.2
52179,0.0,0.17
50283,0.0,0.38
53501,0.0,0.11
53537,0.0,0.3
50220,0.0,0.69
53547,0.0,0.17
50735,0.0,0.13
50356,0.0,0.03
51602,0.0,0.04
52832,0.0,0.09
50716,0.0,0.62
50821,0.0,0.78
51195,0.0,0.06
52954,0.0,0.06
53723,0.0,0.39
52536,0.0,0.16
51601,0.0,0.1
51879,0.0,0.18
51159,0.0,0.8
51003,0.0,0.15
51294,0.0,0.07
53290,0.0,0.21
50721,0.0,0.22
54259,0.0,0.36
50484,0.0,0.23
54149,0.0,0.24
50172,0.0,0.69
51346,0.0,0.23
54017,0.0,0.4
51156,0.0,0.09
51091,0.0,0.17
52441,0.0,0.44
50427,0.0,0.32
51493,0.0,0.13
50222,0.0,0.09
50369,0.0,0.32
54118,0.0,0.18
52141,0.0,0.21
53408,0.0,0.18
53356,0.0,0.16
50123,0.0,0.49
51971,0.0,0.29
52506,0.0,0.39
52909,0.0,0.58
51563,0.0,0.94
51302,0.0,0.27
51008,0.0,0.32
50719,0.0,0.11
51705,0.0,0.21
51046,0.0,0.05
51548,0.0,0.72
51781,0.0,0.19
54082,0.0,0.23
50952,0.0,0.16
54113,0.0,0.3
51323,0.0,0.63
51498,0.0,0.53
50317,0.0,0.44
50767,0.0,0.16
50881,0.0,0.23
52220,0.0,0.1
52243,0.0,0.2
52947,0.0,0.52
51732,0.0,0.05
53492,0.0,0.48
52314,0.0,0.29
51043,0.0,0.11
50461,0.0,0.26
52564,0.0,0.13
53540,0.0,0.15
53597,0.0,0.16
52792,0.0,0.22
51182,0.0,0.09
51173,0.0,0.09
53225,0.0,0.12
53395,0.0,0.4
51829,0.0,0.44
53053,0.0,0.13
51212,0.0,0.18
52660,0.0,0.58
50872,0.0,0.27
52815,0.0,0.13
52784,0.0,0.75
53634,0.0,0.46
50669,0.0,0.24
52042,0.0,0.17
52246,0.0,0.15
52004,0.0,0.18
51184,0.0,0.74
53185,0.0,0.09
52587,0.0,0.28
53495,0.0,0.26
50870,0.0,0.08
54282,0.0,0.12
51120,0.0,0.17
53152,0.0,0.05
51144,0.0,0.11
51188,0.0,0.71
52606,0.0,0.42
54126,0.0,0.22
53810,0.0,0.03
51714,0.0,0.25
53472,0.0,0.74
50341,0.0,0.37
51245,0.0,0.31
51198,0.0,0.07
53171,0.0,0.11
50977,0.0,0.28
50751,0.0,0.49
50925,0.0,0.03
51776,0.0,0.65
51923,0.0,0.56
53220,0.0,0.12
51969,0.0,0.1
53596,0.0,0.4
52834,0.0,0.55
51938,0.0,0.14
52482,0.0,0.08
52973,0.0,0.58
50282,0.0,0.37
50091,0.0,0.26
54286,0.0,0.88
52883,0.0,0.04
50161,0.0,0.35
51859,0.0,0.27
53315,0.0,0.89
50607,0.0,0.86
51694,0.0,0.03
52772,0.0,0.16
54208,0.0,0.3
54255,0.0,0.53
51596,0.0,0.05
53036,0.0,0.61
53511,0.0,0.22
52678,0.0,0.27
53366,0.0,0.12
50105,0.0,0.03
52244,0.0,0.23
50762,0.0,0.63
50548,0.0,0.23
53782,0.0,0.19
53612,0.0,0.08
54129,0.0,0.11
53111,0.0,0.56
52012,0.0,0.06
53199,0.0,0.2
53745,0.0,0.96
50653,0.0,0.05
50980,0.0,0.26
53516,0.0,0.04
53186,0.0,0.15
51136,0.0,0.06
53922,0.0,0.29
52278,0.0,0.03
53744,0.0,0.27
53676,0.0,0.34
51343,0.0,0.05
53485,0.0,0.1
52854,0.0,0.93
50135,0.0,0.24
52950,0.0,0.18
53323,0.0,0.62
51691,0.0,0.69
53811,0.0,0.22
51167,0.0,0.18
50439,0.0,0.15
51266,0.0,0.36
52661,0.0,0.03
51101,0.0,0.71
50933,0.0,0.29
50090,0.0,0.3
53476,0.0,0.35
53446,0.0,0.26
51726,0.0,0.09
51765,0.0,0.3
52540,0.0,0.22
50033,0.0,0.48
50963,0.0,0.29
50431,0.0,0.16
50449,0.0,0.34
51671,0.0,0.19
50543,0.0,0.71
52465,0.0,0.37
52995,0.0,0.49
50650,0.0,0.3
52601,0.0,0.07
50687,0.0,0.15
50948,0.0,0.04
54243,0.0,0.07
54206,0.0,0.19
52251,0.0,0.87
51106,0.0,0.65
51081,0.0,0.25
51139,0.0,0.0
51892,0.0,0.2
52666,0.0,0.11
53694,0.0,0.54
53804,0.0,0.2
50592,0.0,0.03
51107,0.0,0.15
52704,0.0,0.19
52450,0.0,0.47
50838,0.0,0.13
54173,0.0,0.84
53286,0.0,0.25
50810,0.0,0.14
53256,0.0,0.24
52910,0.0,0.09
52929,0.0,0.18
52694,0.0,0.73
54091,0.0,0.79
51491,0.0,0.14
51226,0.0,0.03
52541,0.0,0.05
51161,0.0,0.39
52581,0.0,0.4
50454,0.0,0.17
53601,0.0,0.15
51112,0.0,0.48
52417,0.0,0.24
50661,0.0,0.65
50298,0.0,0.1
51024,0.0,0.28
52604,0.0,0.11
51930,0.0,0.44
52267,0.0,0.14
54158,0.0,0.09
50985,0.0,0.03
54183,0.0,0.02
53023,0.0,0.17
50552,0.0,0.6
51298,0.0,0.85
51213,0.0,0.14
51932,0.0,0.07
51389,0.0,0.13
50984,0.0,0.09
54013,0.0,0.32
50489,0.0,0.2
52823,0.0,0.13
52340,0.0,0.16
53441,0.0,0.32
54210,0.0,0.3
53430,0.0,0.06
52588,0.0,0.89
54225,0.0,0.61
50635,0.0,0.57
52282,0.0,0.4
50646,0.0,0.35
50464,0.0,0.2
53900,0.0,0.03
51366,0.0,0.63
52565,0.0,0.18
52163,0.0,0.09
50423,0.0,0.71
50457,0.0,0.18
53645,0.0,0.07
50383,0.0,0.25
53882,0.0,0.92
53668,0.0,0.12
51303,0.0,0.29
53951,0.0,0.8
54012,0.0,0.14
53677,0.0,0.05
50324,0.0,0.75
53078,0.0,0.25
54187,0.0,0.19
50523,0.0,0.15
51511,0.0,0.13
50509,0.0,0.41
52393,0.0,0.3
53508,0.0,0.14
50855,0.0,0.67
54287,0.0,0.24
52407,0.0,0.05
52092,0.0,0.16
53132,0.0,0.04
54110,0.0,0.6
53403,0.0,0.31
50778,0.0,0.24
54205,0.0,0.81
52801,0.0,0.2
51097,0.0,0.15
50011,0.0,0.33
50986,0.0,0.07
50024,0.0,0.07
54088,0.0,0.11
50676,0.0,0.87
51478,0.0,0.7
50111,0.0,0.27
53274,0.0,0.05
53514,0.0,0.21
53038,0.0,0.26
50773,0.0,0.19
50173,0.0,0.59
53784,0.0,0.06
52868,0.0,0.17
52401,0.0,0.94
52177,0.0,0.1
50242,0.0,0.05
52351,0.0,0.23
51401,0.0,0.33
53280,0.0,0.08
53200,0.0,0.24
