custid,gender
3931,0.2
3932,0.37
3933,0.47
3934,0.08
3935,0.37
3936,0.12
3937,0.23
3938,0.36
3939,0.53
3940,0.39
3941,0.3
3942,0.23
3943,0.39
3944,0.04
3945,0.22
3946,0.5
3947,0.07
3948,0.44
3949,0.36
3950,0.35
3951,0.62
3952,0.34
3953,0.45
3954,0.83
3955,0.47
3956,0.15
3957,0.2
3958,0.33
3959,0.36
3960,0.43
3961,0.49
3962,0.51
3963,0.22
3964,0.42
3965,0.6
3966,0.28
3967,0.29
3968,0.87
3969,0.25
3970,0.21
3971,0.19
3972,0.6
3973,0.77
3974,0.38
3975,0.37
3976,0.41
3977,0.22
3978,0.65
3979,0.64
3980,0.45
3981,0.17
3982,0.3
3983,0.48
3984,0.48
3985,0.08
3986,0.2
3987,0.16
3988,0.34
3989,0.57
3990,0.54
3991,0.43
3992,0.17
3993,0.26
3994,0.25
3995,0.42
3996,0.4
3997,0.34
3998,0.52
3999,0.76
4000,0.43
4001,0.52
4002,0.34
4003,0.39
4004,0.53
4005,0.29
4006,0.325
4007,0.4
4008,0.4
4009,0.27
4010,0.3
4011,0.31
4012,0.42
4013,0.37
4014,0.21
4015,0.52
4016,0.12
4017,0.43
4018,0.46
4019,0.31
4020,0.26
4021,0.54
4022,0.4
4023,0.47
4024,0.37
4025,0.46
4026,0.68
4027,0.59
4028,0.18
4029,0.14
4030,0.05
4031,0.23
4032,0.42
4033,0.35
4034,0.54
4035,0.47
4036,0.6
4037,0.18
4038,0.38
4039,0.11
4040,0.51
4041,0.2
4042,0.26
4043,0.26
4044,0.44
4045,0.81
4046,0.39
4047,0.25
4048,0.5
4049,0.43
4050,0.45
4051,0.4
4052,0.33
4053,0.38
4054,0.37
4055,0.49
4056,0.635
4057,0.29
4058,0.59
4059,0.79
4060,0.38
4061,0.5
4062,0.46
4063,0.42
4064,0.52
4065,0.54
4066,0.28
4067,0.25
4068,0.12
4069,0.37
4070,0.15
4071,0.24
4072,0.22
4073,0.23
4074,0.32
4075,0.51
4076,0.41
4077,0.36
4078,0.32
4079,0.5075
4080,0.49
4081,0.27
4082,0.31
4083,0.22
4084,0.42
4085,0.27
4086,0.45
4087,0.39
4088,0.41
4089,0.13
4090,0.33
4091,0.55
4092,0.31
4093,0.51
4094,0.36
4095,0.43
4096,0.59
4097,0.62
4098,0.66
4099,0.45
4100,0.54
4101,0.41
4102,0.29
4103,0.24
4104,0.13
4105,0.6
4106,0.13
4107,0.41
4108,0.43
4109,0.37
4110,0.17
4111,0.57
4112,0.41
4113,0.41
4114,0.4
4115,0.47
4116,0.62
4117,0.33
4118,0.26
4119,0.39
4120,0.45
4121,0.69
4122,0.51
4123,0.48
4124,0.8
4125,0.43
4126,0.13
4127,0.26
4128,0.13
4129,0.5
4130,0.21
4131,0.53
4132,0.29
4133,0.29
4134,0.41
4135,0.33
4136,0.46
4137,0.44
4138,0.44
4139,0.68
4140,0.52
4141,0.21
4142,0.16
4143,0.42
4144,0.82
4145,0.76
4146,0.31
4147,0.44
4148,0.43
4149,0.68
4150,0.35
4151,0.3
4152,0.71
4153,0.53
4154,0.36
4155,0.34
4156,0.38
4157,0.34
4158,0.42
4159,0.07
4160,0.77
4161,0.2
4162,0.44
4163,0.48
4164,0.46
4165,0.43
4166,0.49
4167,0.49
4168,0.5
4169,0.53
4170,0.32
4171,0.33
4172,0.37
4173,0.31
4174,0.51
4175,0.24
4176,0.41
4177,0.21
4178,0.31
4179,0.42
4180,0.3
4181,0.11
4182,0.35
4183,0.22
4184,0.19
4185,0.16
4186,0.37
4187,0.14
4188,0.5
4189,0.39
4190,0.11
4191,0.44
4192,0.315
4193,0.37
4194,0.54
4195,0.78
4196,0.55
4197,0.53
4198,0.55
4199,0.26
4200,0.59
4201,0.5
4202,0.17
4203,0.59
4204,0.51
4205,0.16
4206,0.87
4207,0.29
4208,0.44
4209,0.47
4210,0.22
4211,0.26
4212,0.64
4213,0.16
4214,0.31
4215,0.27
4216,0.54
4217,0.11
4218,0.15
4219,0.47
4220,0.41200000000000003
4221,0.3
4222,0.46
4223,0.19
4224,0.37
4225,0.43
4226,0.38
4227,0.53
4228,0.53
4229,0.44
4230,0.52
4231,0.54
4232,0.3
4233,0.16
4234,0.41
4235,0.685
4236,0.32
4237,0.56
4238,0.715
4239,0.49
4240,0.13
4241,0.15
4242,0.45
4243,0.19
4244,0.35
4245,0.4
4246,0.8
4247,0.46
4248,0.25
4249,0.385
4250,0.22
4251,0.48
4252,0.39
4253,0.32
4254,0.56
4255,0.31
4256,0.11
4257,0.32
4258,0.72
4259,0.83
4260,0.46
4261,0.25
4262,0.45
4263,0.42
4264,0.6
4265,0.05
4266,0.77
4267,0.19
4268,0.17
4269,0.32
4270,0.48
4271,0.52
4272,0.12
4273,0.64
4274,0.56
4275,0.35
4276,0.42
4277,0.5
4278,0.19
4279,0.51
4280,0.33
4281,0.36
4282,0.39
4283,0.38
4284,0.7
4285,0.682
4286,0.2
4287,0.53
4288,0.48
4289,0.57
4290,0.5
4291,0.32
4292,0.76
4293,0.38
4294,0.19
4295,0.11
4296,0.49
4297,0.33
4298,0.2
4299,0.29
4300,0.21
4301,0.21
4302,0.13
4303,0.16
4304,0.5
4305,0.62
4306,0.36
4307,0.21
4308,0.29
4309,0.15
4310,0.27
4311,0.56
4312,0.39
4313,0.47
4314,0.18
4315,0.93
4316,0.61
4317,0.43
4318,0.33
4319,0.65
4320,0.19
4321,0.35
4322,0.6
4323,0.25
4324,0.39
4325,0.41
4326,0.57
4327,0.32
4328,0.35
4329,0.39
4330,0.47
4331,0.4
4332,0.47
4333,0.36
4334,0.31
4335,0.27
4336,0.47
4337,0.46
4338,0.62
4339,0.16
4340,0.35
4341,0.43
4342,0.7
4343,0.11
4344,0.29
4345,0.18
4346,0.45
4347,0.29
4348,0.26
4349,0.615
4350,0.2
4351,0.1
4352,0.38
4353,0.35
4354,0.33
4355,0.32
4356,0.62
4357,0.48
4358,0.4
4359,0.41
4360,0.86
4361,0.29
4362,0.43
4363,0.51
4364,0.54
4365,0.32
4366,0.13
4367,0.51
4368,0.08
4369,0.64
4370,0.46
4371,0.51
4372,0.7
4373,0.59
4374,0.37
4375,0.48
4376,0.35
4377,0.3
4378,0.26
4379,0.44
4380,0.51
4381,0.31
4382,0.46
4383,0.52
4384,0.39
4385,0.4
4386,0.42
4387,0.57
4388,0.475
4389,0.54
4390,0.39
4391,0.46
4392,0.55
4393,0.15
4394,0.2
4395,0.35
4396,0.49
4397,0.12
4398,0.65
4399,0.27
4400,0.32
4401,0.29
4402,0.39
4403,0.36
4404,0.36
4405,0.61
4406,0.35
4407,0.63
4408,0.26
4409,0.56
4410,0.39
4411,0.43
4412,0.44
4413,0.48
4414,0.31
4415,0.38
4416,0.49
4417,0.35
4418,0.26
4419,0.32
4420,0.33
4421,0.43
4422,0.41
4423,0.28
4424,0.36
4425,0.41
4426,0.51
4427,0.31
4428,0.34
4429,0.58
4430,0.35
4431,0.37
4432,0.44
4433,0.13
4434,0.14
4435,0.57
4436,0.2
4437,0.3
4438,0.22
4439,0.43
4440,0.14
4441,0.18
4442,0.47
4443,0.15
4444,0.51
4445,0.47
4446,0.6
4447,0.37
4448,0.47
4449,0.42
4450,0.16
4451,0.52
4452,0.45
4453,0.26
4454,0.6375
4455,0.38
4456,0.18
4457,0.2
4458,0.08
4459,0.15
4460,0.24
4461,0.45
4462,0.58
4463,0.2
4464,0.09
4465,0.4
4466,0.51
4467,0.53
4468,0.71
4469,0.48
4470,0.05
4471,0.22
4472,0.66
4473,0.47
4474,0.24
4475,0.57
4476,0.4
4477,0.18
4478,0.7375
4479,0.46
4480,0.34
4481,0.11
4482,0.24
4483,0.31
4484,0.34
4485,0.43
4486,0.29
4487,0.24
4488,0.15
4489,0.35
4490,0.21
4491,0.44
4492,0.5
4493,0.46
4494,0.1
4495,0.38
4496,0.34
4497,0.8
4498,0.24
4499,0.39
4500,0.65
4501,0.2
4502,0.32
4503,0.46
4504,0.19
4505,0.45
4506,0.42
4507,0.09
4508,0.57
4509,0.19
4510,0.23
4511,0.48
4512,0.88
4513,0.41
4514,0.47
4515,0.45
4516,0.27
4517,0.43
4518,0.45
4519,0.71
4520,0.445
4521,0.62
4522,0.09
4523,0.1
4524,0.57
4525,0.62
4526,0.51
4527,0.22
4528,0.48
4529,0.35
4530,0.68
4531,0.43
4532,0.52
4533,0.49
4534,0.56
4535,0.32
4536,0.61
4537,0.46
4538,0.3
4539,0.57
4540,0.57
4541,0.25
4542,0.46
4543,0.39
4544,0.22
4545,0.43
4546,0.47
4547,0.16
4548,0.3
4549,0.26
4550,0.49
4551,0.62
4552,0.32
4553,0.5
4554,0.625
4555,0.19
4556,0.49
4557,0.4
4558,0.48
4559,0.19
4560,0.44
4561,0.12
4562,0.51
4563,0.5783333333333333
4564,0.22
4565,0.66
4566,0.3
4567,0.6275
4568,0.46
4569,0.34
4570,0.09
4571,0.29
4572,0.28
4573,0.26
4574,0.51
4575,0.54
4576,0.5
4577,0.15
4578,0.26
4579,0.21
4580,0.36
4581,0.59
4582,0.17
4583,0.66
4584,0.22
4585,0.35
4586,0.52
4587,0.26
4588,0.43
4589,0.08
4590,0.46
4591,0.23
4592,0.6
4593,0.56
4594,0.4
4595,0.36
4596,0.37
4597,0.66
4598,0.39
4599,0.5
4600,0.49
4601,0.5
4602,0.21
4603,0.24
4604,0.45
4605,0.4
4606,0.18
4607,0.26
4608,0.43
4609,0.55
4610,0.5
4611,0.61
4612,0.57
4613,0.49
4614,0.56
4615,0.45
4616,0.03
4617,0.56
4618,0.42
4619,0.48
4620,0.37
4621,0.24
4622,0.82
4623,0.67
4624,0.53
4625,0.43
4626,0.41
4627,0.4
4628,0.56
4629,0.45
4630,0.31
4631,0.42
4632,0.31
4633,0.15
4634,0.41
4635,0.51
4636,0.24
4637,0.39
4638,0.26
4639,0.17
4640,0.27
4641,0.57
4642,0.31
4643,0.2
4644,0.48
4645,0.6
4646,0.18
4647,0.51
4648,0.41
4649,0.47
4650,0.4
4651,0.14
4652,0.33
4653,0.48
4654,0.44
4655,0.24
4656,0.23
4657,0.47
4658,0.51
4659,0.51
4660,0.22
4661,0.55
4662,0.09
4663,0.53
4664,0.4
4665,0.66
4666,0.32
4667,0.24
4668,0.26
4669,0.57
4670,0.38
4671,0.22
4672,0.14
4673,0.32
4674,0.48
4675,0.685
4676,0.4
4677,0.46
4678,0.3
4679,0.57
4680,0.37
4681,0.29
4682,0.1
4683,0.12
4684,0.55
4685,0.12
4686,0.51
4687,0.33
4688,0.64
4689,0.42
4690,0.12
4691,0.58
4692,0.32
4693,0.1
4694,0.42
4695,0.18
4696,0.28
4697,0.4
4698,0.589
4699,0.3
4700,0.28
4701,0.53
4702,0.1
4703,0.06
4704,0.47
4705,0.63
4706,0.24
4707,0.545
4708,0.19
4709,0.5
4710,0.55
4711,0.21
4712,0.51
4713,0.55
4714,0.61
4715,0.45
4716,0.44
4717,0.23
4718,0.36
4719,0.26
4720,0.5
4721,0.32
4722,0.41
4723,0.31
4724,0.22
4725,0.54
4726,0.38
4727,0.36
4728,0.4
4729,0.44
4730,0.52
4731,0.32
4732,0.47
4733,0.22
4734,0.34
4735,0.2
4736,0.23
4737,0.43
4738,0.51
4739,0.57
4740,0.3
4741,0.59
4742,0.24
4743,0.6
4744,0.46
4745,0.36
4746,0.57
4747,0.47
4748,0.61
4749,0.28
4750,0.26
4751,0.21
4752,0.64
4753,0.42
4754,0.45
4755,0.51
4756,0.43
4757,0.26
4758,0.85
4759,0.61
4760,0.49
4761,0.56
4762,0.28
4763,0.47
4764,0.34
4765,0.4
4766,0.5
4767,0.65
4768,0.34
4769,0.39
4770,0.51
4771,0.64
4772,0.29
4773,0.29
4774,0.31
4775,0.38
4776,0.05
4777,0.64
4778,0.53
4779,0.21
4780,0.56
4781,0.33
4782,0.52
4783,0.49
4784,0.35
4785,0.21
4786,0.37
4787,0.38
4788,0.11
4789,0.58
4790,0.625
4791,0.38
4792,0.45
4793,0.53
4794,0.5
4795,0.18
4796,0.48
4797,0.6
4798,0.52
4799,0.36
4800,0.34
4801,0.41
4802,0.4
4803,0.1
4804,0.29
4805,0.24
4806,0.38
4807,0.85
4808,0.13
4809,0.5
4810,0.67
4811,0.26
4812,0.29
4813,0.53
4814,0.36
4815,0.59
4816,0.18
4817,0.39
4818,0.55
4819,0.56
4820,0.18
4821,0.47
4822,0.23
4823,0.05
4824,0.56
4825,0.14
4826,0.37
4827,0.31
4828,0.22
4829,0.58
4830,0.14
4831,0.21
4832,0.22
4833,0.63
4834,0.49
4835,0.52
4836,0.55
4837,0.36
4838,0.74
4839,0.46
4840,0.51
4841,0.57
4842,0.33
4843,0.5
4844,0.45
4845,0.24
4846,0.62
4847,0.57
4848,0.68
4849,0.4
4850,0.645
4851,0.41
4852,0.62
4853,0.71
4854,0.58
4855,0.17
4856,0.36
4857,0.13
4858,0.58
4859,0.19
4860,0.45
4861,0.57
4862,0.37
4863,0.18
4864,0.45166666666666666
4865,0.27
4866,0.35
4867,0.53
4868,0.08
4869,0.33
4870,0.19
4871,0.47
4872,0.4
4873,0.36
4874,0.66
4875,0.44
4876,0.68
4877,0.59
4878,0.41
4879,0.31
4880,0.11
4881,0.59
4882,0.46
4883,0.46
4884,0.3
4885,0.3
4886,0.27
4887,0.15
4888,0.43
4889,0.24
4890,0.4
4891,0.41
4892,0.49
4893,0.45
4894,0.19
4895,0.42
4896,0.5
4897,0.37
4898,0.16
4899,0.14
4900,0.44
4901,0.45
4902,0.31
4903,0.17
4904,0.31
4905,0.56
4906,0.5
4907,0.41
4908,0.23
4909,0.42
4910,0.23
4911,0.512
4912,0.72
4913,0.56
4914,0.55
4915,0.25
4916,0.5
4917,0.28
4918,0.32
4919,0.63
4920,0.34
4921,0.53
4922,0.35
4923,0.16
4924,0.27
4925,0.48
4926,0.58
4927,0.24
4928,0.15
4929,0.12
4930,0.51
4931,0.31
4932,0.22
4933,0.33
4934,0.71
4935,0.11
4936,0.06
4937,0.27
4938,0.38
4939,0.36
4940,0.29
4941,0.38
4942,0.33
4943,0.49
4944,0.39
4945,0.49
4946,0.5
4947,0.03
4948,0.7
4949,0.11
4950,0.635
4951,0.37
4952,0.18
4953,0.24
4954,0.28
4955,0.68
4956,0.48
4957,0.36
4958,0.6
4959,0.39
4960,0.06
4961,0.48
4962,0.46
4963,0.425
4964,0.42
4965,0.502
4966,0.46
4967,0.48
4968,0.09
4969,0.48
4970,0.1
4971,0.53
4972,0.26
4973,0.48
4974,0.47
4975,0.35
4976,0.49
4977,0.11
4978,0.3
4979,0.67
4980,0.35
4981,0.34
4982,0.53
4983,0.82
4984,0.59
4985,0.3
4986,0.33
4987,0.63
4988,0.19
4989,0.49
4990,0.39
4991,0.28
4992,0.47
4993,0.15
4994,0.43
4995,0.45
4996,0.25
4997,0.415
4998,0.35
4999,0.14
5000,0.41
5001,0.54
5002,0.44
5003,0.19
5004,0.28
5005,0.23
5006,0.51
5007,0.35
5008,0.34
5009,0.59
5010,0.32
5011,0.63
5012,0.33
5013,0.455
5014,0.14
5015,0.16
5016,0.765
5017,0.47
5018,0.31
5019,0.31
5020,0.45
5021,0.2
5022,0.82
5023,0.49
5024,0.41
5025,0.38
5026,0.41
5027,0.18
5028,0.17
5029,0.56
5030,0.18
5031,0.27
5032,0.32
5033,0.36
5034,0.48
5035,0.26
5036,0.36
5037,0.39
5038,0.21
5039,0.2
5040,0.27
5041,0.61
5042,0.31
5043,0.25
5044,0.24
5045,0.54
5046,0.13
5047,0.37
5048,0.32
5049,0.6
5050,0.6
5051,0.33
5052,0.53
5053,0.45
5054,0.45
5055,0.542
5056,0.46
5057,0.34
5058,0.34
5059,0.48
5060,0.69
5061,0.4
5062,0.21
5063,0.7
5064,0.42
5065,0.26
5066,0.21
5067,0.24
5068,0.49
5069,0.1
5070,0.31
5071,0.6551666666666667
5072,0.57
5073,0.56
5074,0.25
5075,0.35
5076,0.44
5077,0.45
5078,0.38
5079,0.44
5080,0.47
5081,0.41
5082,0.41
5083,0.26
5084,0.17
5085,0.46
5086,0.34
5087,0.44
5088,0.64
5089,0.27
5090,0.46
5091,0.31
5092,0.43
5093,0.36
5094,0.59
5095,0.59
5096,0.26
5097,0.51
5098,0.26
5099,0.47
5100,0.19
5101,0.34
5102,0.37
5103,0.32
5104,0.31
5105,0.2
5106,0.415
5107,0.635
5108,0.26
5109,0.7275
5110,0.63
5111,0.47
5112,0.29
5113,0.36
5114,0.26
5115,0.37
5116,0.18
5117,0.29
5118,0.17
5119,0.35
5120,0.57
5121,0.39
5122,0.22
5123,0.43
5124,0.43
5125,0.17
5126,0.18
5127,0.34
5128,0.645
5129,0.27
5130,0.28
5131,0.2
5132,0.16
5133,0.49
5134,0.33
5135,0.12
5136,0.28
5137,0.34
5138,0.51
5139,0.3
5140,0.4
5141,0.32
5142,0.4
5143,0.4
5144,0.6
5145,0.36
5146,0.39
5147,0.56
5148,0.7
5149,0.65
5150,0.3
5151,0.56
5152,0.49
5153,0.5
5154,0.48
5155,0.22
5156,0.38
5157,0.67
5158,0.13
5159,0.48
5160,0.67
5161,0.18
5162,0.55
5163,0.55
5164,0.47
5165,0.65
5166,0.49
5167,0.3
5168,0.26
5169,0.65
5170,0.36
5171,0.42
5172,0.14
5173,0.66
5174,0.58
5175,0.62
5176,0.41
5177,0.27
5178,0.37
5179,0.54
5180,0.2
5181,0.54
5182,0.33
5183,0.14
5184,0.41
5185,0.27
5186,0.53
5187,0.2
5188,0.3
5189,0.31
5190,0.36
5191,0.43
5192,0.11
5193,0.4
5194,0.52
5195,0.24
5196,0.49
5197,0.4
5198,0.43
5199,0.31
5200,0.64
5201,0.4
5202,0.09
5203,0.43
5204,0.31
5205,0.57
5206,0.5
5207,0.45
5208,0.76
5209,0.49
5210,0.36
5211,0.31
5212,0.36
5213,0.49
5214,0.41
5215,0.49
5216,0.48
5217,0.45
5218,0.18
5219,0.48
5220,0.45
5221,0.23
5222,0.47
5223,0.43
5224,0.57
5225,0.63
5226,0.36
5227,0.19
5228,0.59
5229,0.24
5230,0.78
5231,0.53
5232,0.37
5233,0.51
5234,0.47
5235,0.35
5236,0.35
5237,0.25
5238,0.33
5239,0.15
5240,0.16
5241,0.58
5242,0.25
5243,0.52
5244,0.13
5245,0.12
5246,0.61
5247,0.34
5248,0.64
5249,0.38
5250,0.29
5251,0.65
5252,0.09
5253,0.3
5254,0.48
5255,0.23
5256,0.4
5257,0.48
5258,0.36
5259,0.28
5260,0.35
5261,0.4
5262,0.12
5263,0.41
5264,0.85
5265,0.38
5266,0.38
5267,0.23
5268,0.3
5269,0.31
5270,0.52
5271,0.44
5272,0.85
5273,0.53
5274,0.08
5275,0.5
5276,0.22
5277,0.07
5278,0.21
5279,0.38
5280,0.58
5281,0.57
5282,0.21
5283,0.24
5284,0.35
5285,0.26
5286,0.65
5287,0.42
5288,0.23
5289,0.5
5290,0.13
5291,0.34
5292,0.45
5293,0.53
5294,0.82
5295,0.3
5296,0.23
5297,0.41
5298,0.22
5299,0.47
5300,0.19
5301,0.38
5302,0.11
5303,0.8
5304,0.54
5305,0.43
5306,0.41
5307,0.42
5308,0.34
5309,0.43
5310,0.1
5311,0.37
5312,0.39
5313,0.23
5314,0.59
5315,0.16
5316,0.6
5317,0.55
5318,0.54
5319,0.49
5320,0.39
5321,0.62
5322,0.21
5323,0.47
5324,0.32
5325,0.38
5326,0.3
5327,0.2
5328,0.2
5329,0.67
5330,0.49
5331,0.09
5332,0.41
5333,0.35
5334,0.59
5335,0.34
5336,0.54
5337,0.46
5338,0.29
5339,0.33
5340,0.12
5341,0.07
5342,0.37
5343,0.38
5344,0.7
5345,0.33
5346,0.63
5347,0.5966666666666667
5348,0.13
5349,0.65
5350,0.21
5351,0.26
5352,0.44
5353,0.42
5354,0.63
5355,0.68
5356,0.52
5357,0.3
5358,0.42
5359,0.37
5360,0.61
5361,0.43
5362,0.41
5363,0.57
5364,0.61
5365,0.45
5366,0.45
5367,0.83
5368,0.57
5369,0.18
5370,0.45
5371,0.34
5372,0.39
5373,0.48
5374,0.37
5375,0.17
5376,0.66
5377,0.45
5378,0.42
5379,0.24
5380,0.8
5381,0.38
5382,0.4
5383,0.2
5384,0.41
5385,0.11
5386,0.26
5387,0.61
5388,0.3
5389,0.56
5390,0.32
5391,0.24
5392,0.52
5393,0.1
5394,0.33
5395,0.25
5396,0.36
5397,0.17
5398,0.29
5399,0.15
5400,0.29
5401,0.57
5402,0.36
5403,0.08
5404,0.28
5405,0.23
5406,0.36
5407,0.25
5408,0.09
5409,0.27
5410,0.47
5411,0.44
5412,0.44
5413,0.44
5414,0.39
5415,0.25
5416,0.53
5417,0.68
5418,0.33
5419,0.25
5420,0.86
5421,0.26
5422,0.34
5423,0.39
5424,0.82
5425,0.31
5426,0.26
5427,0.48
5428,0.54
5429,0.46
5430,0.26
5431,0.39
5432,0.37
5433,0.52
5434,0.18
5435,0.08
5436,0.34
5437,0.77
5438,0.44
5439,0.5
5440,0.45
5441,0.17
5442,0.59
5443,0.25
5444,0.28
5445,0.12
5446,0.27
5447,0.41
5448,0.53
5449,0.54
5450,0.51
5451,0.18
5452,0.31
5453,0.38
5454,0.27
5455,0.16
5456,0.29
5457,0.17
5458,0.42
5459,0.37200000000000005
5460,0.69
5461,0.23
5462,0.51
5463,0.7425
5464,0.23
5465,0.55
5466,0.12
5467,0.37
5468,0.37
5469,0.54
5470,0.36
5471,0.35
5472,0.08
5473,0.32
5474,0.16
5475,0.54
5476,0.33
5477,0.11
5478,0.59
5479,0.32
5480,0.27
5481,0.35
5482,0.4
5483,0.4
5484,0.31
5485,0.62
5486,0.18
5487,0.22
5488,0.42
5489,0.45
5490,0.34
5491,0.46
